Seq.;Atividade;Resultado;Comentário;Resultado Esperado;Descriçăo;Área de Negocio;Módulo/Sistema;Usuário Responsável;Anotaçőes;Tempo (Minutos)
10;Acessar modulo de Despesas;Sucesso;;Modulo acessado;Navegador> Eu> Despesas;Financeiro;Fusion: Expenses;Karina Possamai;;
20;Realizar tour do Produto de Despesas;Sucesso;;Video normativo demonstrado;Assistir video> Clicar em Ir para Viagens e Despesas;Financeiro;Fusion: Expenses;Karina Possamai;;
30;Criar Relatorio de Despesa;Sucesso;;Dados obrigatorios informados;Clicar em Criar Relatorio> Preencher Finalidade;Financeiro;Fusion: Expenses;Karina Possamai;;
40;Criar Item de Despesa;Sucesso;;Dados obrigatorios informados;Clicar em Criar Item>  Preencher os campos necessarios para prestacao de contasData Modelo com itens de Despesa Tipo Valor Descrito Anexos Validar informacao Contabi > Salvar e Fechar;Financeiro;Fusion: Expenses;Karina Possamai;;
50;Enviar Relatorio de Despesa;Sucesso;;Relatorio de despesa submetido;Clicar em Li e aceito as politicas de viagem e despesas corporativas> Clicar em Enviar> Selecionar Adiantamento Nao utilizado> Clicar em Aplicar e Enviar;Financeiro;Fusion: Expenses;Karina Possamai;;
60;Aprovar Relatorio de Despesa;Sucesso;;Relatorio de despesa aprovado;Realizar aprovacao do Relatorio de Despesa com usuario aprovador;Financeiro;Fusion: Expenses;Karina Possamai;;
70;Acessar Tela de Auditoria;Sucesso;;Tarefa acessada;Navegador> Auditoria> Em Tarefas clicar em Gerenciar Relatorio de Despesas com usuario Auditor;Financeiro;Fusion: Expenses;Karina Possamai;;
80;Pesquisar relatorios pendentes de Auditoria;Sucesso;;Relatorio de despesa encontrado;Pesquisar relatorios com status Aprovacao de auditoria de despesa pendente e clicar Auditar Relatorio de Despesas;Financeiro;Fusion: Expenses;Karina Possamai;;
90;Auditar Relatorio de Despesa;Sucesso;;Relatorio de despesa auditado;Realizar auditoria do Relatorio de Despesa> Clicar em Recibo Verificado> Clicar em Concluir Auditoria;Financeiro;Fusion: Expenses;Karina Possamai;;
100;Acessar tela de Processamento Reembolso de Despesa para o Contas a Pagar;Sucesso;;Tarefa acessada;Navegador> Auditoria> Em Tarefas clicar em Processar Reembolsos de Despesas e Adiantamentos em Dinheiro;Financeiro;Fusion: Expenses;Karina Possamai;;
110;Cancelar Reembolso de Despesa para o Contas a Pagar;Sucesso;;Relatorio de despesa integrado para contas a pagar;Selecionar Unidade de Negocio> Escolher Tipo <Cancelar Reembolso de Despesas> Clicar em Submeter;Financeiro;Fusion: Expenses;Roberta Bezerra;;
120;Processar Reembolso de Despesa para o Contas a Pagar;Sucesso;;Relatorio de despesa integrado para contas a pagar;Selecionar Unidade de Negocio> Escolher Tipo <Reembolso de Despesas> Clicar em Submeter;Financeiro;Fusion: Expenses;Roberta Bezerra;;
